Id_bien;id_codedep_codecommune;No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
27815;92060;2;;RUE;BLAISE PASCAL;3;71,18;71;Appartement
27816;92062;14;;RUE;LUCIEN VOILIN;3;41,89;40;Appartement
27817;92063;92;;AV;ALBERT 1ER;1;30,07;29;Appartement
27818;92063;68;;AV;DE BUZENVAL;4;106,6;85;Maison
27819;93001;21;;AV;JEAN JAURES;2;37,72;38;Appartement
27820;93001;6;;RUE;LOUIS ARAGON;5;94,93;95;Appartement
27821;93005;2;;AV;JULES JOUY;4;74,06;74;Appartement
27822;93010;107;;AV;DE LA REPUBLIQUE;2;41,92;42;Appartement
27823;93031;115;;AV;JOFFRE;2;29,4;35;Appartement
27824;93032;5;;AV;DE GAGNY;1;25,51;25;Appartement
27825;93046;22;;BD;CHANZY;3;58,05;58;Appartement
27826;93051;166;;AV;EMILE COSSONNEAU;1;17,03;17;Appartement
27827;93062;26;;ALL;CLEMENCET;1;24,41;25;Appartement
27828;93066;17;;RUE;FRANCISCO ASENSI;3;63,44;63;Appartement
27829;93070;19;;RUE;LA CLEF DES CHAMPS;3;65,47;65;Appartement
27830;93070;11;;RUE;DE CLICHY;1;17,76;18;Appartement
27831;94003;19;;RUE;GUY GOUYON DU VERGER;2;31,09;32;Appartement
27832;94003;5;;RUE;BESSON;4;61,27;72;Appartement
27833;94004;3;;RUE;DE PARIS;2;33,45;35;Appartement
27834;94011;8;;RUE;BOUGLIONE;3;60,36;60;Appartement
27835;94011;4;;MAIL;DE LA RESISTANCE;3;55,01;54;Appartement
27836;94017;4;;IMP;SAINT ETIENNE;5;78,29;97;Maison
27837;94017;30;;RUE;ALBERT THOMAS;2;25,41;35;Appartement
27838;94017;39;;RUE;DES BAS CLAYAUX;4;81,61;82;Maison
27839;94017;12;;CITE;ANDRE JOLY;2;38,74;40;Appartement
27840;94017;148;;AV;DU GENERAL DE GAULLE;2;38,41;35;Appartement
27841;94018;27;;AV;MAL DE LATTRE DE TASSIGNY;4;91,5;91;Appartement
27842;94022;35;;RUE;PASTEUR;5;92,89;95;Appartement
27843;94038;96;;RUE;DE CHEVILLY;3;55,54;56;Appartement
27844;94046;174;;AV;DE LA REPUBLIQUE;2;29,87;32;Appartement
27845;94046;2;B;RUE;ERNEST RENAN;1;20,32;21;Appartement
27846;94058;97;;AV;PIERRE BROSSOLETTE;2;40,26;39;Appartement
27847;94067;9;;AV;ALPHAND;2;48,83;48;Appartement
27848;94078;5;;RUE;EMILE ZOLA;3;47,5;48;Appartement
27849;95018;15;;RUE;DE RETHONDES;3;63,99;65;Appartement
27850;95019;21;;AV;DAUMIER;1;22,78;23;Appartement
27851;95052;4;;RUE;DE LA HEUSE;1;28,95;31;Appartement
27852;95183;8;;RUE;DES PERDRIX;3;68,62;67;Appartement
27853;95197;63;;RUE;MATHIEU CHAZOTTE;4;77,12;81;Appartement
27854;95199;4;;CHE;DES ESSARTS;5;81;80;Appartement
27855;95203;6;;RUE;D ANDILLY;4;72,06;72;Appartement
27856;95218;21;;RUE;DES CHARMILLES;3;58,14;59;Appartement
27857;95252;222;;RUE;DU GAL LECLERC;2;55,2;57;Appartement
27858;95288;;;PL;SCHEMMERHOFEN;3;79,57;76;Appartement
27859;95394;1;B;RTE;DE SOGNOLLES;2;37,3;38;Appartement
27860;95427;9;;RUE;ROBERT FOULON;3;72,14;69;Appartement
27861;95555;8;;ALL;DES FRENES;4;91,74;85;Appartement
27862;95563;5;;AV;DIABLOTS;4;84,07;84;Appartement
27863;95582;4;;SQ;DU VILLAGE;4;84,1;84;Appartement
27864;95585;35;;RTE;DE GARGES;4;69,78;67;Appartement
27865;972207;6851;F;RES;BARINGTHON - LA CHASSAING;3;72,26;70;Appartement
27866;972209;;;RES;ASTORIA;4;92,58;92;Appartement
27867;02408;32;;RUE;DE LA LINOTTE;4;80,14;90;Maison
27868;02722;3;B;RUE;PORTE CROUY;2;31,84;32;Appartement
27869;02722;10;;PL;DE LAON;3;73,94;75;Appartement
27870;04189;44;;;LE PONT;1;20,5;20;Maison
27871;05085;5100;A;;LE CHEF LIEU;4;25,1;62;Appartement
27872;05098;5277;;;PRE LALLEGRE;2;28,96;30;Appartement
27873;05101;5496;;;LES EYSSARDS DE PELVOUX;2;43,44;44;Appartement
27874;05111;5162;G;;LE CHATEAU;4;101,99;100;Appartement
27875;05164;51;;LOT;LES JARDINS DU MORGON;3;49,55;57;Appartement
27876;06004;56;;RTE;DE SAINT JEAN;2;55,58;45;Appartement
27877;06011;4;;RUE;LIEUTENANT COLONELLI;3;93;90;Appartement
27878;06030;14;;RUE;DES MOULIERES;1;23,02;23;Appartement
27879;06085;401;;RTE;DE LA ROQUETTE;4;83,77;82;Maison
27880;06088;179;;AV;CORNICHE FLEURIE;4;93,3;87;Maison
27881;06088;10;;AV;CAGNOLI;1;35,53;36;Appartement
27882;06088;10;;AV;MARECHAL FOCH;1;25,49;26;Appartement
27883;06088;22;;RUE;L HOTEL POSTES;5;125,28;120;Appartement
27884;06088;160;;RUE;DE FRANCE;2;57,92;59;Appartement
27885;06088;30;;AV;DE FABRON;1;23,13;24;Appartement
27886;06088;26;B;BD;DE MONTREAL;1;32;31;Appartement
27887;06104;9;;PROM;DU CAP;1;59,6;59;Appartement
27888;06104;11;;RUE;VICTOR HUGO;4;93,22;100;Appartement
27889;06155;105;;AV;DES FRERES ROUSTAN;1;24,57;24;Appartement
27890;08053;3;;;LA MARBRERIE;3;124,59;90;Appartement
27891;10387;10;;RUE;COLBERT;2;52,19;51;Appartement
27892;10387;62;;RUE;DE LA MONNAIE;2;35,41;34;Appartement
27893;10387;4;;RUE;DU GROS RAISIN;3;69,94;70;Appartement
27894;11069;16;;RUE;MARCELIN ALBERT;3;58,04;58;Appartement
27895;11203;2;;RUE;CLAUDE NOUGARO;2;41,06;41;Appartement
27896;11266;16;;RUE;LA PEROUSE;2;34,29;34;Appartement
27897;13211;50;;BD;NOTRE DAME;3;43,32;45;Appartement
27898;14338;9069;;;COUR DU MOULIN;3;38,9;38;Appartement
27899;14338;80;;RUE;DES BAINS;1;20,46;21;Appartement
27900;14338;12;;IMP;DE LA PASSERELLE;3;47,89;57;Appartement
27901;14557;9001;;VC;RES LE HAMEAU DU PRIEURE;2;52,19;54;Appartement
27902;16015;35;;RUE;LOUIS BARTHOU;3;129,43;143;Appartement
27903;16291;155;;RUE;DES FAUVETTES;5;85,22;82;Maison
27904;19031;9;;RUE;GALILEE;2;45,7;44;Appartement
27905;22050;3;;RES;DUCLOS;1;35,32;35;Appartement
27906;22278;8;;BD;EDOUARD PRIGENT;2;56,88;57;Appartement
27907;22278;8;;RUE;ALFRED DE VIGNY;4;67,24;66;Appartement
27908;25056;5;;RUE;DE LUXEMBOURG;2;48,97;49;Appartement
27909;26281;2;;IMP;EDEN;4;57,79;70;Appartement
27910;26362;100;;RUE;DES MOULINS;4;61,95;63;Appartement
27911;26362;17;;RUE;CHARLES BAUDELAIRE;6;112,25;123;Appartement
27912;27229;19;A;RUE;DE COUDRES;3;123,5;105;Appartement
27913;27229;44;;RUE;VICTOR HUGO;3;82,55;83;Appartement
27914;28085;24;;RUE;DU FAUBOURG GUILLAUME;4;109,24;107;Appartement
27915;28134;3;;PL;MESIRARD;2;44,84;45;Appartement
27916;29019;6;;RUE;DE PONTANIOU;3;59,81;61;Appartement
27917;29151;8;;RUE;DE BREST;4;70,31;66;Appartement
27918;2A004;;;RES;LES COLLINES DU RICANTO;2;47,23;47;Appartement
27919;30062;6408;;RTE;D AIGUES VIVES;2;30,7;29;Appartement
27920;30133;894;;AV;DE CAMARGUE;1;20,51;20;Appartement
27921;30174;5804;;CHE;DU VIGUERAUD;4;88,3;89;Maison
27922;30189;9;;RUE;BACHALAS;2;34,83;42;Appartement
27923;30189;10;;IMP;BONFILS;4;213,45;112;Appartement
27924;30189;23;B;RUE;FERNAND PELLOUTIER;2;29,15;29;Appartement
27925;30189;18;;RUE;JOSIAS PAUT;5;79,13;84;Appartement
27926;30202;9001;;RUE;DE GIVORS;4;89,32;85;Maison
27927;31066;162;;RUE;PRIVAT;2;40,44;42;Appartement
27928;31555;110;;RUE;DU GENERAL BOURBAKI;1;18,07;18;Appartement
27929;31555;30;;RUE;DES SALENQUES;1;30,45;32;Appartement
27930;31555;5;;RUE;DU PETIT CASTELET;4;66,47;63;Appartement
27931;31555;34;;RUE;DU MEDECIN COL CALBAIRAC;2;47,12;50;Appartement
27932;32160;4;;RUE;JEAN JAURES;2;43,29;43;Appartement
27933;33009;8;;RUE;GUSTAVE HAMEAU;2;35;35;Appartement
27934;33009;104;;BD;DE LA PLAGE;3;81,32;80;Appartement
27935;33009;50;;BD;DE LA PLAGE;1;37,5;38;Appartement
27936;33009;38;;QUAI;DU CAP ALLEGRE;3;75,41;75;Appartement
27937;33056;32;;RUE;DE LA FORTERESSE;3;66,55;63;Appartement
27938;33063;18;;RUE;DES FAUSSETS;1;13,56;14;Appartement
27939;33063;10;;RUE;ETCHENIQUE;2;50,75;50;Appartement
27940;33069;109;;RUE;DES ECUS;2;52,19;53;Appartement
27941;33119;4;;RUE;PIERRE CURIE;1;18,27;18;Appartement
27942;33162;13;;RUE;DES FLEURS;2;41,11;42;Appartement
27943;33192;4;;CHE;DE LA LANDETTE;3;70,71;71;Maison
