product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
4565;0;30,5;3;instock;15,92
4566;1;28,5;19;instock;15,31
4568;0;21,5;0;outofstock;11,22
4573;1;67,2;12;instock;36,46
4577;0;49;1;instock;24,05
4578;0;40;3;instock;20,05
4582;1;109,6;18;instock;53,8
4584;0;32,3;0;outofstock;17,36
4594;1;144;0;outofstock;87,36
4596;1;43,9;7;instock;22,91
4597;1;61,6;7;instock;33,42
4598;1;41,8;5;instock;21,38
4599;0;36,9;0;outofstock;18,3
4600;1;26,5;15;instock;13,14
4601;1;16,1;24;instock;8,57
4602;1;31,5;8;instock;16,93
4603;1;31,5;8;instock;15,95
4604;1;49;5;instock;25,06
4605;1;32,2;9;instock;16,47
4606;1;50,1;0;outofstock;24,59
4607;1;13,4;41;instock;7,13
4609;1;11,8;40;instock;6,04
4610;1;13,1;34;instock;6,5
4611;1;26,2;29;instock;13,67
4612;1;20,6;0;outofstock;10,22
4613;1;16,9;23;instock;8,38
4614;1;19;23;instock;10,31
4615;1;24;16;instock;12,28
4616;1;57;10;instock;27,98
4617;1;67,5;6;instock;35,57
4618;1;30,6;0;outofstock;16,44
4619;1;59;8;instock;32,01
4620;1;11,9;28;instock;6,03
4621;1;16,5;36;instock;8,53
4625;1;52,4;4;instock;28,16
4626;1;52,9;4;instock;27,88
4627;1;58,3;2;instock;28,62
4628;1;39,6;8;instock;21,07
4629;1;52,4;7;instock;27,07
4630;1;62,4;1;instock;33,21
4631;1;76,8;1;instock;38,49
4632;1;50;9;instock;26,87
4633;1;52,4;5;instock;27,61
4634;1;41;11;instock;20,12
4635;1;62,4;12;instock;31,92
4636;1;50;0;outofstock;25,58
4646;1;21,5;27;instock;10,89
4647;1;28,5;45;instock;14,14
4648;1;24,3;22;instock;12,68
4649;1;16,5;18;instock;8,1
4650;1;25,3;20;instock;13,07
4651;1;49;7;instock;24,81
4653;1;36,2;8;instock;19,64
4654;1;33,4;14;instock;17,43
4655;1;40,2;7;instock;20,35
4656;1;43;13;instock;22,88
4657;1;43;3;instock;21,55
4658;1;48,8;4;instock;25,97
4659;0;23,6;0;outofstock;12,56
4662;1;20,8;13;instock;10,96
4664;1;16,4;20;instock;8,39
4665;1;14,4;39;instock;7,59
4666;1;21;24;instock;11,18
4668;1;12,3;21;instock;6,23
4669;1;20,2;21;instock;10,65
4670;1;17;30;instock;8,96
4671;1;21,9;28;instock;11,32
4672;1;17,8;36;instock;9,56
4673;1;19,8;17;instock;10,33
4674;1;19;24;instock;9,91
4675;1;10,7;31;instock;5,64
4676;1;12,9;28;instock;6,93
4677;1;9,5;25;instock;4,91
4678;1;29,8;31;instock;15,09
4679;1;13,2;32;instock;6,55
4680;1;6,3;35;instock;3,29
4681;1;7,1;33;instock;3,56
4682;1;9,1;34;instock;4,84
4683;1;9,1;43;instock;4,84
4684;1;18,1;28;instock;9,45
4686;1;14;23;instock;7,31
4687;1;30,1;10;instock;15,4
4689;1;12,8;38;instock;6,68
4690;1;12,8;23;instock;6,94
4692;0;12;48;instock;6,39
4693;0;18,5;0;outofstock;9,75
4697;0;34,5;1;instock;18,72
4698;0;20,5;0;outofstock;10,17
4702;0;23,8;0;outofstock;11,93
4703;1;19,8;42;instock;9,72
4704;1;18,2;30;instock;9,22
4705;1;31,6;9;instock;17,14
4706;1;16,8;0;outofstock;8,68
4707;1;22,8;21;instock;11,54
4708;1;32,6;3;instock;17,35
4709;1;44;7;instock;22,05
4711;1;55,4;6;instock;29,77
4712;1;15,8;27;instock;8,57
4713;1;18,4;25;instock;9,22
4714;1;13,3;26;instock;7,22
4715;1;11,1;23;instock;5,91
4716;1;18,6;32;instock;9,23
4717;1;23,4;20;instock;11,73
4718;1;18,2;35;instock;9,78
4719;1;12,5;23;instock;6,46
4720;1;15,9;31;instock;8,46
4721;0;20,2;0;outofstock;10,54
4722;1;13,7;18;instock;6,72
4723;1;29;19;instock;15,43
4725;1;23,4;13;instock;12,33
4726;1;12,7;0;outofstock;6,82
4727;1;26;15;instock;12,9
4728;1;29,5;14;instock;14,48
4729;1;8,6;26;instock;4,22
4730;1;14,3;31;instock;7,24
4731;1;22;42;instock;11,03
4733;1;16,8;38;instock;8,42
4734;1;15,3;27;instock;8,22
4738;0;13,5;3;instock;6,77
4739;1;7,4;30;instock;3,75
4740;1;9,7;31;instock;5,21
4741;0;12,4;0;outofstock;6,66
4744;0;13,8;5;instock;6,84
4748;1;14,5;35;instock;7,42
4749;1;11,9;38;instock;6,46
4750;1;16,4;24;instock;8,3
4752;1;27,9;23;instock;13,69
4753;1;12;23;instock;6,51
4755;1;7,4;47;instock;3,98
4757;1;26,5;21;instock;13,01
4758;1;24,3;35;instock;12,93
4759;1;16,9;26;instock;8,3
4776;1;6,8;42;instock;3,48
4778;1;13,9;20;instock;6,89
4779;1;7,8;36;instock;4,07
4780;1;13,7;32;instock;6,72
4782;1;9,8;19;instock;5,01
4783;1;29,5;16;instock;15,85
4784;1;28,5;21;instock;14,28
4785;1;10,1;20;instock;4,96
4786;1;12,1;32;instock;6,56
4788;1;12,3;10;instock;6,29
4789;1;11,1;27;instock;5,96
4790;1;11,1;22;instock;5,62
4791;1;13,6;27;instock;7,38
4792;1;21;29;instock;11,28
4793;1;18,7;15;instock;9,37
4794;1;41,6;14;instock;22,14
4795;1;12;32;instock;6,08
4797;1;78;5;instock;42,32
4798;0;12,7;0;outofstock;6,3
4799;1;14,9;23;instock;7,39
4858;1;6,5;0;outofstock;3,19
4860;1;8,7;29;instock;4,63
4861;1;8,5;36;instock;4,17
4862;1;9,9;35;instock;4,86
4863;1;8,2;54;instock;4,11
4864;0;8,3;0;outofstock;9,99
4865;1;9,8;48;instock;5,16
4867;1;9,9;121;instock;4,86
4869;0;17,2;0;outofstock;9,33
4870;1;9,3;0;outofstock;4,81
4874;0;14,6;0;outofstock;7,62
4876;1;22,8;0;outofstock;11,9
4885;1;18,7;0;instock;9,66
4886;1;28,4;14;instock;14,53
4888;1;27,9;17;instock;14,85
4889;1;25,3;16;instock;12,55
4890;1;17;19;instock;8,78
4891;1;27,9;8;instock;14,7
4892;1;20,1;30;instock;10,9
4893;1;27,9;21;instock;14,99
4899;1;21,2;18;instock;11,17
4900;1;20,8;11;instock;10,75
4901;1;41;17;instock;20,76
4902;1;46;15;instock;23,53
4903;1;102,3;12;instock;51,8
4904;1;137;9;instock;67,95
4907;1;22,9;32;instock;12,42
4908;1;53,2;7;instock;26,11
4909;1;25,9;14;instock;12,85
4910;1;17,3;23;instock;8,76
4911;0;23;0;outofstock;12
4912;1;25,9;34;instock;12,98
4913;1;28;23;instock;14,76
4914;1;25,9;24;instock;12,98
4915;1;25,9;28;instock;13,38
4918;1;37,2;15;instock;18,64
4919;1;24,4;10;instock;12,86
4920;1;24,4;16;instock;12,86
4921;0;13,8;0;outofstock;7,13
4922;0;21,5;0;outofstock;10,55
4923;1;7;0;outofstock;3,65
4924;1;12,8;24;instock;6,28
4925;1;23,2;38;instock;11,39
4926;1;7,9;40;instock;4,04
4927;1;6,5;39;instock;3,29
4928;1;7,9;28;instock;3,88
4929;1;16,7;26;instock;8,28
4930;1;17,5;29;instock;9,31
4931;1;27,8;34;instock;15,08
4932;1;25,7;5;instock;12,75
