Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","372","Ireland","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.523","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","376","Israel","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.842","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","380","Italy","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.778","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","388","Jamaica","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.144","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","392","Japan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.887","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","400","Jordan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.288","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","398","Kazakhstan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.672","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","404","Kenya","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.935","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","414","Kuwait","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.024","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","417","Kyrgyzstan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.796","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","418","Lao People's Democratic Republic","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.105","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","428","Latvia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.794","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","426","Lesotho","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.172","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","430","Liberia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.685","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","440","Lithuania","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.702","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","442","Luxembourg","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.656","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","450","Madagascar","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.02","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","454","Malawi","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.085","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","458","Malaysia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.83","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","462","Maldives","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.906","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","466","Mali","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.003","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","470","Malta","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.795","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","478","Mauritania","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.96","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","480","Mauritius","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.876","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","484","Mexico","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.766","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","496","Mongolia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.756","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","499","Montenegro","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.862","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","500","Montserrat","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.799","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","504","Morocco","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.798","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","508","Mozambique","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.993","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","104","Myanmar","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.029","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","516","Namibia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.736","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","524","Nepal","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.38","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","528","Netherlands (Kingdom of the)","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.614","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","554","New Zealand","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.739","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","558","Nicaragua","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.016","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","562","Niger","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.138","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","566","Nigeria","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.994","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","807","North Macedonia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.949","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","578","Norway","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.691","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","512","Oman","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.842","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.019","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","275","Palestine","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.127","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","591","Panama","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.11","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","600","Paraguay","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.809","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","604","Peru","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.898","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","608","Philippines","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.095","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","616","Poland","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.584","E","Estimated value"
